BOOKING_ID,YEAR_KEY,ACCOUNT_KEY,ORG_UNIT_KEY,AMOUNT_IST,AMOUNT_PLAN,COMMENT
INTEGER,INTEGER,VARCHAR,VARCHAR,INTEGER,INTEGER,VARCHAR
1,2025,SALARIES,DEPT_A1,52000,50000,Hired one engineer in Q1
2,2025,OFFICE_RENT,DEPT_A1,12000,12000,Annual lease
3,2025,FLIGHTS,DEPT_A1,3200,4000,Less travel than planned
4,2025,PRODUCT_SALES,DEPT_A1,98000,90000,Strong Q4
5,2025,SALARIES,DEPT_A2,48000,48000,
6,2025,OFFICE_RENT,DEPT_A2,9000,9000,
7,2025,HOTELS,DEPT_A2,2200,2500,
8,2025,SOCIAL_SEC,DEPT_A2,9600,9600,
9,2025,SALARIES,DEPT_B1,75000,72000,Includes bonus
10,2025,WAREHOUSE_RENT,DEPT_B1,28000,28000,
11,2025,CONSULTING,DEPT_B1,42000,40000,Brand campaign
12,2025,PRODUCT_SALES,DEPT_B1,60000,55000,
13,2026,SALARIES,DEPT_A1,55000,55000,
14,2026,OFFICE_RENT,DEPT_A1,12500,12500,Rent increase
15,2026,FLIGHTS,DEPT_A1,4200,4000,Conference travel
16,2026,PRODUCT_SALES,DEPT_A1,105000,100000,
17,2026,SALARIES,DEPT_A2,50000,49000,
18,2026,OFFICE_RENT,DEPT_A2,9200,9200,
19,2026,HOTELS,DEPT_A2,2800,2600,
20,2026,SOCIAL_SEC,DEPT_A2,10000,9800,
21,2026,SALARIES,DEPT_B1,78000,75000,
22,2026,WAREHOUSE_RENT,DEPT_B1,30000,30000,New warehouse
23,2026,CONSULTING,DEPT_B1,45000,45000,
24,2026,PRODUCT_SALES,DEPT_B1,68000,65000,
25,2027,SALARIES,DEPT_A1,0,58000,Plan only
26,2027,OFFICE_RENT,DEPT_A1,0,13000,Plan only
27,2027,FLIGHTS,DEPT_A1,0,4500,Plan only
28,2027,PRODUCT_SALES,DEPT_A1,0,115000,Plan only
29,2027,SALARIES,DEPT_A2,0,52000,Plan only
30,2027,OFFICE_RENT,DEPT_A2,0,9500,Plan only
31,2027,HOTELS,DEPT_A2,0,3000,Plan only
32,2027,SOCIAL_SEC,DEPT_A2,0,10400,Plan only
33,2027,SALARIES,DEPT_B1,0,80000,Plan only
34,2027,WAREHOUSE_RENT,DEPT_B1,0,31000,Plan only
35,2027,CONSULTING,DEPT_B1,0,48000,Plan only
36,2027,PRODUCT_SALES,DEPT_B1,0,72000,Plan only
