BOOKING_ID,YEAR_KEY,PLAN_STAGE_KEY,ACCOUNT_KEY,ORG_UNIT_KEY,BUDGET_KEY,AMOUNT_IST,AMOUNT_PLAN,COMMENT
INTEGER,INTEGER,VARCHAR,VARCHAR,VARCHAR,VARCHAR,INTEGER,INTEGER,VARCHAR
1,2025,P25_FINAL,SALARIES,DEPT_A1,OPEX,52000,50000,Hired one engineer in Q1
2,2025,P25_FINAL,SOCIAL_SEC,DEPT_A1,OPEX,10400,10000,
3,2025,P25_FINAL,OFFICE_RENT,DEPT_A1,OPEX,12000,12000,Annual lease
4,2025,P25_FINAL,FLIGHTS,DEPT_A1,OPEX,3200,4000,Less travel than planned
5,2025,P25_FINAL,PRODUCT_SALES,DEPT_A1,OPEX,98000,90000,Strong Q4
6,2025,P25_FINAL,SALARIES,DEPT_A2,OPEX,48000,48000,
7,2025,P25_FINAL,OFFICE_RENT,DEPT_A2,OPEX,9000,9000,
8,2025,P25_FINAL,SALARIES,DEPT_B1,OPEX,75000,72000,Includes bonus
9,2025,P25_FINAL,CONSULTING,DEPT_B1,MARKETING,42000,40000,Brand campaign
10,2026,P26_V2,SALARIES,DEPT_A1,OPEX,55000,55000,
11,2026,P26_V2,OFFICE_RENT,DEPT_A1,OPEX,12500,12500,Rent increase
12,2026,P26_V2,FLIGHTS,DEPT_A1,OPEX,4200,4000,Conference travel
13,2026,P26_V2,PRODUCT_SALES,DEPT_A1,OPEX,105000,100000,
14,2026,P26_V2,SALARIES,DEPT_A2,OPEX,50000,49000,
15,2026,P26_V2,WAREHOUSE_RENT,DEPT_B1,CAPEX,30000,30000,New warehouse
16,2026,P26_V2,CONSULTING,DEPT_B1,MARKETING,45000,45000,
17,2027,P27_DRAFT,SALARIES,DEPT_A1,OPEX,0,58000,Plan only
18,2027,P27_DRAFT,OFFICE_RENT,DEPT_A1,OPEX,0,13000,Plan only
19,2027,P27_DRAFT,PRODUCT_SALES,DEPT_A1,OPEX,0,115000,Plan only
20,2027,P27_DRAFT,SALARIES,DEPT_B1,OPEX,0,78000,Plan only
